Title: The Rotation of M Dwarfs Observed by the Apache Point 
       Galactic Evolution Experiment 
Authors: Gilhool S.H., Blake C.H., Terrien R.C., Bender C., 
         Mahadevan S., Deshpande R. 
Table: v sin i Results
================================================================================
Byte-by-byte Description of file: ajaa9c7ct4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label       Explanations
--------------------------------------------------------------------------------
   1- 17 A17    ---      ID          2MASS identifier
  19- 30 F12.8  deg      RAdeg       Right Ascension in decimal degrees (J2000)
  32- 44 F13.9  deg      DEdeg       Declination in decimal degrees (J2000)
  46- 49 I4     K        Teff-ASPCAP ASPCAP derived effective temperature
  51- 54 I4     K        Teff-VFIT   VFIT derived effective temperature
  56- 59 F4.1   [Sun]    [M/H]       VFIT derived metallicity
  61- 63 F3.1   [cm/s2]  logg        VFIT derived log surface gravity
  65- 65 A1     ---    l_vsini       Limit flag on vsini  
  66- 70 F5.2   km/s     vsini       VFIT derived projected rotation velocity
  72- 74 F3.1   km/s   e_vsini       ? Uncertainty in vsini  
--------------------------------------------------------------------------------
2M06092734+1116298  92.363931    11.274962    3624 3600 -0.5 4.5   8.19 1.8 
2M06093542+2816546  92.397587    28.281841    3121 3000 -0.0 5.0 < 8.0      
2M06101073+1032302  92.544712    10.541748    3877 3900 -0.5 4.5 < 8.0      
2M06101085+1119546  92.545220    11.331850    2999 3100 -0.5 5.5 < 8.0      
2M06102756+2759447  92.614863    27.995758    3732 3800 -0.0 4.5 < 8.0      
2M06112610+1032599  92.858786    10.549991    3713 3700 -0.5 4.5 < 8.0      
2M06112868+1008375  92.869522    10.143766    3040 3100 +0.5 5.5 < 8.0      
2M06115599+3325505  92.983296    33.430714    3198 3200 +0.5 5.5  12.5  1.7 
2M06125467+1006313  93.227797    10.108707    3299 3200 -0.0 4.5 < 8.0      
2M06132113+2835295  93.338059    28.591534    3553 3600 -0.0 4.5 < 8.0      
2M06134814+2335489  93.450607    23.596943    3080 3200 +0.5 5.5 < 8.0      
2M06134854+2647211  93.452287    26.789215    3826 3800 -0.0 4.5 < 8.0      
2M06150622+3248010  93.775926    32.800289    3282 3300 -0.5 4.5 < 8.0      
2M06161499+2754094  94.062485    27.902634    3547 3500 -0.0 4.5 < 8.0      
2M06195743+2022197  94.989307    20.372139    3010 3100 -0.0 5.0  28.9  1.6 
2M06205178+3145134  95.215783    31.753725    3109 3100 +0.5 5.5 < 8.0      
2M06213640+3222390  95.401669    32.377506    3009 3100 -0.5 5.5 < 8.0      
2M06213904+3231006  95.412706    32.516853    3356 3300 -0.5 5.0 < 8.0      
2M06234645+0502411  95.943550     5.0447640   3861 3900 +0.5 5.0 < 8.0      
2M06270211+0309473  96.758825     3.1631440   3642 3500 -0.0 4.5 < 8.0      
2M06272815+2129225  96.867315    21.489595    3043 3000 -0.0 5.0  11.4  1.6 
2M06273672+0918088  96.903008     9.3024590   3664 3600 -0.0 4.5 < 8.0      
2M06274397+0923541  96.933209     9.3983620   3611 3600 -0.0 4.5 < 8.0      
2M06293433+1742419  97.393073    17.711651    3081 3000 -0.0 5.0 < 8.0      
2M06295663+0934185  97.485987     9.5718210   3312 3300 +0.5 5.0 < 8.0      
2M06312373+0036445  97.848903     0.61236300  3673 3700 -0.5 4.5 < 8.0      
2M06320207+3431132  98.008631    34.520336    3260 3200 +0.5 5.0 < 8.0      
2M06322227+0044222  98.092822     0.73950000  3562 3500 -0.5 4.5 < 8.0      
2M06362535+1830520  99.105655    18.514462    3283 3300 -0.0 5.0 < 8.0      
2M06370004+1515162  99.250177    15.254525    3647 3600 -0.0 4.5 < 8.0      
2M06375540+0858594  99.480852     8.9831830   3247 3200 +0.5 5.5 < 8.0      
2M06383035+1455167  99.626484    14.921312    3399 3400 +0.5 5.0 < 8.0      
2M06405199+1543220 100.21666     15.722780    3372 3300 +0.5 5.0 < 8.0      
2M06421118+0334527 100.54659      3.5813060   3437 3400 -0.0 4.5 < 8.0      
2M06434596+1410450 100.94151     14.179173    3663 3700 -0.5 4.5 < 8.0      
2M06464003+0109157 101.66680      1.1543710   3842 4000 -0.5 4.5  32.5  1.9 
2M06473451+0748593 101.89379      7.8164740   3153 3100 -0.0 4.5 < 8.0      
2M06481555+0326243 102.06481      3.4400940   2786 2800 -0.0 5.5   8.92 1.6 
2M06503126-0938441 102.63028     -9.6455880   3571 3600 -1.0 4.5 < 8.0      
2M06505947-0910506 102.74783     -9.1807240   3397 3300 -0.0 4.5 < 8.0      
2M06513673+2023264 102.90308     20.390667    3481 3400 -0.0 4.5 < 8.0      
2M06542485+1653352 103.60357     16.893133    3652 3700 -0.5 4.5 < 8.0      
2M06543764+1708058 103.65684     17.134947    3408 3500 -0.5 4.5 < 8.0      
2M06561894-0835461 104.07894     -8.5961490   3343 3300 -0.0 5.0 < 8.0      
2M06572462+0651440 104.35260      6.8622410   3218 3200 -0.0 5.0 < 8.0      
2M07015902+0456273 105.49594      4.9409210   3197 3100 -0.0 4.5 < 8.0      
2M07092008+0017352 107.33370      0.29313200  3402 3300 -0.0 4.5 < 8.0      
2M07171706-0501031 109.32108     -5.0175380   3160 3200 -0.0 5.0  27.9  1.6 
2M07355815+7832528 113.99229     78.548027    3476 3500 -0.0 5.0 < 8.0      
2M07404251+6643075 115.17714     66.718765    3851 3800 -0.0 4.5  11.4  1.9 
2M07404603+3758253 115.19180     37.973721    3166 3000 +0.5 4.5 < 8.0      
2M07421457+7949418 115.56071     79.828278    3266 3300 +0.5 5.5 < 8.0      
2M07431638+6642456 115.81828     66.712685    3532 3500 -0.0 4.5 < 8.0      
2M07444028+7946423 116.16787     79.778435    3838 3800 -0.0 4.5  52.8  2.6 
2M07454991+3716280 116.45799     37.274448    3253 3200 -0.0 5.0 < 8.0      
2M07461563+5359345 116.56516     53.992924    3268 3300 +0.5 5.5 < 8.0      
2M07492701+7752423 117.36257     77.878433    3308 3300 +0.5 5.5 < 8.0      
2M07551206+5257540 118.80027     52.965000    3353 3300 +0.5 5.5 < 8.0      
2M07560879+4110179 119.03665     41.171650    3798 3800 -0.5 4.5 < 8.0      
2M07562017+3935254 119.08407     39.590393    3540 3400 -0.0 4.5 < 8.0      
2M07563272+4011016 119.13636     40.183796    3596 3600 -0.5 4.5 < 8.0      
2M07573472+3940005 119.39471     39.666813    3781 3900 -0.5 4.5 < 8.0      
2M07592679+4118003 119.86166     41.300095    3547 3400 -0.0 4.5 < 8.0      
2M08025304+4012352 120.72101     40.209805    3369 3300 -0.0 5.0 < 8.0      
2M08070156+7832436 121.75652     78.545464    3296 3300 +0.5 5.5 < 8.0      
2M08074747+4013412 121.94782     40.228127    3563 3600 -0.5 4.5 < 8.0      
2M08100405+3220142 122.51689     32.337296    3503 3500 -0.0 4.5  17.4  1.5 
2M08103429-1348514 122.64288    -13.814298    3582 3600 -0.0 4.5 < 8.0      
2M08122671+2745298 123.11131     27.758286    3348 3300 -0.0 5.0 < 8.0      
